Platform,Timestamp,URL,CSS-Locator,Guidelines-Exported
4chan,2024-09-10 15:26:25,https://www.4chan.org/rules,,data/community-guidelines/4chan/4chan.md
6.cn,2024-09-05 10:27:33,https://v.6.cn/user/agreement.php?type=7,.service-box,data/community-guidelines/6.cn/6.cn.md
8kun,2024-09-05 10:47:13,https://8kun.top/guidance.html,.ban,data/community-guidelines/8kun/8kun.md
8kun,2024-09-05 10:47:30,https://8kun.top/dost.html,.ban,data/community-guidelines/8kun/8kun.md
9gag,2024-09-06 09:51:59,https://9gag.helpshift.com/hc/en/3-9gag/section/11-9gag-rules/,.section-faqs,data/community-guidelines/9gag/9gag.md
9gag,2024-09-06 09:57:01,https://9gag.helpshift.com/hc/en/3-9gag/faq/29-enforcement/,.faq-details,data/community-guidelines/9gag/9gag.md
Ameblo,2024-09-06 10:22:16,https://helps.ameba.jp/trouble/post_1495.html,.entry__body,data/community-guidelines/Ameblo/Ameblo.md
Aparat,2024-09-06 09:20:48,https://www.aparat.com/community-guideline/publishPolicy,.sc-iWBNLc,data/community-guidelines/Aparat/Aparat.md
Aparat,2024-09-06 09:23:21,https://www.aparat.com/community-guideline/publishPolicy/copyright,.static-content,data/community-guidelines/Aparat/Aparat.md
Ask.fm,2024-09-06 09:18:37,https://safety.ask.fm/community-guidelines/,.entry-content > div:nth-child(1),data/community-guidelines/Ask.fm/Ask.fm.md
Badoo,2024-09-10 15:32:33,https://badoo.com/guidelines#guidelines,.terms-view,data/community-guidelines/Badoo/Badoo.md
Badoo,2024-09-10 15:36:00,https://badoo.com/guidelines/violent-graphic-content#guidelines,.terms-view,data/community-guidelines/Badoo/Badoo.md
Behance,2024-09-10 15:36:41,https://www.behance.net/misc/community,.Legal-primaryContent-es7,data/community-guidelines/Behance/Behance.md
Behance,2024-09-10 15:36:56,https://help.behance.net/hc/en-us/articles/204485024-Guide-Adult-Content-on-Behance,.article,data/community-guidelines/Behance/Behance.md
Bilibili,2024-09-06 10:38:43,https://www.bilibili.com/blackboard/manga/activity-OS6gNk0mmB.html,.t-space-container,data/community-guidelines/Bilibili/Bilibili.md
BitChute,2024-09-06 09:24:30,https://support.bitchute.com/policy/guidelines/,#js_page_content,data/community-guidelines/BitChute/BitChute.md
BitChute,2024-09-06 09:25:06,https://support.bitchute.com/policy-explanations/incitement-to-hatred,#js_page_content,data/community-guidelines/BitChute/BitChute.md
Blind,2024-09-06 10:31:27,https://www.teamblind.com/community-guidelines,div.bg-white:nth-child(2) > div:nth-child(1),data/community-guidelines/Blind/Blind.md
Brainly,2024-09-10 15:37:49,https://brainly.in/community-guidelines,body,data/community-guidelines/Brainly/Brainly.md
CSDN,2024-09-05 10:28:15,https://blogdev.blog.csdn.net/article/details/113122012,#content_views,data/community-guidelines/CSDN/CSDN.md
DeviantArt,2024-09-06 10:06:44,https://www.deviantart.com/about/policy/etiquette,._2wle9,data/community-guidelines/DeviantArt/DeviantArt.md
Discord,2024-09-16 16:22:47,https://discord.com/guidelines,div.container780:nth-child(2),data/community-guidelines/Discord/Discord.md
Discord,2024-09-16 16:23:55,https://discord.com/safety/bullying-harassment-threats-policy-explainer,div.container780:nth-child(2),data/community-guidelines/Discord/Discord.md
Discord,2024-09-16 16:24:03,https://discord.com/safety/doxxing-policy-explainer,div.container780:nth-child(2),data/community-guidelines/Discord/Discord.md
Discord,2024-09-16 16:24:08,https://discord.com/safety/hateful-conduct-policy-explainer,div.container780:nth-child(2),data/community-guidelines/Discord/Discord.md
Discord,2024-09-16 16:24:19,https://discord.com/safety/violent-extremism-policy-explainer,div.container780:nth-child(2),data/community-guidelines/Discord/Discord.md
Discord,2024-09-16 16:24:24,https://discord.com/safety/violence-graphic-content-policy-explainer,div.container780:nth-child(2),data/community-guidelines/Discord/Discord.md
Discord,2024-09-16 16:24:30,https://discord.com/safety/child-safety-policy-explainer,div.container780:nth-child(2),data/community-guidelines/Discord/Discord.md
