"","platform","banned_categories"
"1","4chan",4
"2","6.cn",5
"3","8kun",10
"4","9gag",19
"5","Ameblo",10
"6","Aparat",38
"7","Ask.fm",21
"8","Badoo",50
"9","Behance",24
"10","Bilibili",25
"11","BitChute",18
"12","Blind",15
"13","Bluesky",21
"14","Brainly",7
"15","CSDN",23
"16","DLive",25
"17","DeviantArt",13
"18","Discord",52
"19","Douban",22
"20","Douyin",61
"21","Dxy",25
"22","Facebook",69
"23","Fetlife",7
"24","Flickr",4
"25","Foursquare",2
"26","Gettr",48
"27","Hacker News",3
"28","Hatenablog",15
"29","Hive Social",23
"30","Imgur",34
"31","Imo",23
"32","Josh",45
"33","Kakao",21
"34","Knuddels",16
"35","Kuaishou",46
"36","Kwai",48
"37","LINE",22
"38","Letterboxd",9
"39","Likee",40
"40","LinkedIn",58
"41","Mastodon",9
"42","Medium",29
"43","Minds",14
"44","NewGrounds",11
"45","Nextdoor",24
"46","Nicovideo",18
"47","Ninisite",8
"48","Nnmclub",9
"49","Odysee",16
"50","Patreon",47
"51","Patriots.win",5
"52","Peanut",19
"53","Pinterest",56
"54","Plurk",10
"55","Quora",35
"56","Reddit",37
"57","ReverbNation",16
"58","SlideShare",16
"59","Slug",3
"60","Snapchat",49
"61","Sound Cloud",27
"62","Stack Exchange",30
"63","Steam Community",15
"64","Tagged",41
"65","Tellonym",20
"66","ThinkSpot",16
"67","TikTok",67
"68","TradingView",4
"69","Triller",34
"70","TruthSocial",18
"71","Tumblr",39
"72","Twitch",55
"73","VK",20
"74","VSCO",39
"75","Vero",28
"76","Viber",34
"77","Vimeo",38
"78","Wattpad",5
"79","WeChat",60
"80","WhatsApp",15
"81","Wykop",7
"82","X",46
"83","Xiaohongshu",42
"84","Xing",3
"85","YY",30
"86","YouTube",59
"87","Yubo",34
"88","Zhanqi.tv",6
"89","Zhihu",55
